Time,Time Code,Country Name,Country Code,GDP (current US$) [NY.GDP.MKTP.CD],Households and NPISHs final consumption expenditure (% of GDP) [NE.CON.PRVT.ZS],General government final consumption expenditure (% of GDP) [NE.CON.GOVT.ZS],Gross capital formation (% of GDP) [NE.GDI.TOTL.ZS],Exports of goods and services (% of GDP) [NE.EXP.GNFS.ZS],Imports of goods and services (% of GDP) [NE.IMP.GNFS.ZS]
2014,YR2014,Bhutan,BTN,2089079570.58285,44.9168225577109,18.1267964157003,56.5119544142318,34.1893414068432,53.7449147944863
2014,YR2014,Bolivia,BOL,32996188017.3661,62.9374499091372,14.7070466402409,21.0337970312715,43.2930879909317,41.9713815715814
2014,YR2014,Bosnia and Herzegovina,BIH,18558733564.4692,82.8942704121752,22.8610441376188,22.5258642223175,33.9891201082484,56.5631605791701
2014,YR2014,Botswana,BWA,15470088500.7414,42.3099943806747,29.2537913997764,25.2530625662887,61.2829678934065,58.214573898057
2014,YR2014,Brazil,BRA,2456043727198.85,62.9595707094347,19.1535387102127,20.5484107553739,11.0119428190539,13.6734629940752
2014,YR2014,British Virgin Islands,VGB,..,..,..,..,..,..
2014,YR2014,Brunei Darussalam,BRN,17097797371.9718,15.5089027556297,21.4176335429709,27.4418170153291,68.177101904531,34.2438991427387
2014,YR2014,Bulgaria,BGR,57080897012.1077,62.8058444101281,16.833076863621,21.5078339407257,64.5508109503852,65.69756616486
2014,YR2014,Burkina Faso,BFA,13943016076.7436,70.2225263802843,15.474778613438,19.2622491931648,26.932004154154,31.8915583395886
2014,YR2014,Burundi,BDI,2705783329.80483,85.4999487455075,25.9000061887709,14.2030571572419,8.6960211937924,34.2990046114706
2014,YR2014,Cabo Verde,CPV,2041930125.42979,62.0185819756854,19.7924331719005,34.9962522997627,37.2482924821867,54.0555599295354
2014,YR2014,Cambodia,KHM,22041463967.9009,76.1605411076733,5.64093045299287,30.0126716073678,56.629548029687,67.8253604970058
2014,YR2014,Cameroon,CMR,36386544706.0806,71.8256708675679,12.058933037832,19.7278343398902,23.6099755336855,27.2224137750793
2014,YR2014,Canada,CAN,1805749878439.94,55.7963142959261,20.266560128167,24.8707076104681,31.7365758733408,32.6420862831515
2014,YR2014,Cayman Islands,CYM,4562853611.41445,..,..,..,..,..
2014,YR2014,Central African Republic,CAF,1894813389.40325,82.2217923037951,15.5309338184523,21.9907907197476,16.6757875879937,36.4193044299887
2014,YR2014,Chad,TCD,18144336903.7175,56.3411990387836,8.71275886033188,29.4795971629017,23.1390359613993,17.6725910245326
2014,YR2014,Channel Islands,CHI,10528493006.4176,..,..,..,..,..
2014,YR2014,Chile,CHL,259560978224.359,61.2424027938614,13.2263259780646,25.1580934170755,33.0039029664774,32.6307251554113
2014,YR2014,China,CHN,10674533168257.4,36.9862190673163,15.8783188765672,45.3115352657107,23.0719766946892,20.9964797865509
2014,YR2014,Colombia,COL,381240864422.407,65.9709032472018,14.2437505161207,24.0033136584861,16.6347491096509,20.8527165314594
2014,YR2014,Comoros,COM,1149587623.99594,94.4046754171781,10.2752326943949,15.2029658508546,9.67647247817716,29.5593519373903
2014,YR2014,"Congo, Dem. Rep.",COD,35909040925.9375,73.4806996394267,8.32176727716563,23.2234743391057,36.8321888505236,41.8579612736924
2014,YR2014,"Congo, Rep.",COG,17919321078.0284,28.3515348103397,16.7341898264262,52.8446172450901,53.1336383710482,51.0639817323687
2014,YR2014,Costa Rica,CRI,52016408854.212,66.2309549467332,17.0113032502945,19.2231532892112,31.3629152834921,33.828326769731
2014,YR2014,Cote d'Ivoire,CIV,48843005613.7091,..,..,22.6204558252908,28.1569587645537,25.5234587964808
2014,YR2014,Croatia,HRV,59612144078.4133,59.231477810281,23.091795072956,18.0589182473792,42.4134929086938,42.7956840393101
